latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.14025,40.36794,327.43,0.5,0.66,2020-01-15,0920,N,VIIRS,n,2,282.61,6.32,D,0
37.1387,40.36246,354.32,0.5,0.66,2020-01-15,0920,N,VIIRS,n,2,284.76,6.32,D,0
37.14091,40.36493,345.45,0.5,0.66,2020-01-15,0920,N,VIIRS,n,2,283.31,11.17,D,0
37.13934,40.35948,356.7,0.5,0.66,2020-01-15,0920,N,VIIRS,l,2,286.63,11.9,D,0
37.1144,40.1596,328.88,0.51,0.66,2020-01-15,0920,N,VIIRS,n,2,286.45,2.76,D,0
37.16215,40.11924,328.77,0.51,0.66,2020-01-15,0920,N,VIIRS,n,2,280.15,4.1,D,0
37.2014,40.23384,334.44,0.5,0.66,2020-01-15,0920,N,VIIRS,n,2,284.71,4.7,D,0
37.1622,40.12245,325.92,0.51,0.66,2020-01-15,0920,N,VIIRS,n,2,281.14,2.66,D,0
37.20044,40.23101,329.84,0.5,0.66,2020-01-15,0920,N,VIIRS,n,2,284.02,3.74,D,0
37.29184,40.22992,353.73,0.5,0.66,2020-01-15,0920,N,VIIRS,n,2,289.66,9.52,D,0
37.24212,40.0563,348.09,0.51,0.66,2020-01-15,0920,N,VIIRS,n,2,288.63,7.36,D,0
37.24051,40.05069,340.52,0.51,0.66,2020-01-15,0920,N,VIIRS,n,2,286.49,7.36,D,0
37.18307,39.51225,333.44,0.55,0.68,2020-01-15,0920,N,VIIRS,n,2,287.28,2.57,D,0
40.55002,34.30558,334.75,0.78,0.78,2020-01-15,0921,N,VIIRS,n,2,278.98,4.75,D,0
37.1452,40.22864,335.87,0.35,0.57,2020-01-15,1100,N,VIIRS,n,2,289.68,3.08,D,0
37.03242,40.53243,350.17,0.36,0.58,2020-01-15,1100,N,VIIRS,n,2,291.45,4.12,D,0
37.12638,40.82417,340.56,0.38,0.59,2020-01-15,1100,N,VIIRS,n,2,290.69,2.38,D,0
37.12562,40.61672,367,0.37,0.58,2020-01-15,1100,N,VIIRS,h,2,294.08,9.72,D,0
37.1298,40.59521,336.66,0.37,0.58,2020-01-15,1100,N,VIIRS,n,2,290.93,3.86,D,0
37.13615,40.51883,344.88,0.36,0.58,2020-01-15,1100,N,VIIRS,n,2,290.28,7.11,D,0
37.13591,40.5147,341.61,0.36,0.58,2020-01-15,1100,N,VIIRS,n,2,290.88,5.18,D,0
37.12833,40.214,328.66,0.35,0.57,2020-01-15,1100,N,VIIRS,n,2,289.95,1.45,D,0
37.13356,40.12871,343.73,0.35,0.56,2020-01-15,1100,N,VIIRS,n,2,289.85,6.16,D,0
37.14857,40.11545,328.6,0.35,0.56,2020-01-15,1100,N,VIIRS,n,2,289.02,2.54,D,0
37.14805,40.11547,326.82,0.35,0.56,2020-01-15,1100,N,VIIRS,n,2,289.44,2.42,D,0
37.1696,40.30393,325.18,0.35,0.57,2020-01-15,1100,N,VIIRS,n,2,288.16,1.96,D,0
37.16216,40.08621,326.54,0.35,0.56,2020-01-15,1100,N,VIIRS,n,2,289.92,1.68,D,0
37.17218,40.07709,352.98,0.34,0.56,2020-01-15,1100,N,VIIRS,n,2,291.13,4.54,D,0
37.2033,40.51741,327,0.36,0.58,2020-01-15,1100,N,VIIRS,n,2,288.85,2.69,D,0
37.20306,40.51322,341.6,0.36,0.58,2020-01-15,1100,N,VIIRS,n,2,290.28,2.69,D,0
37.23994,40.23147,329.26,0.35,0.57,2020-01-15,1100,N,VIIRS,n,2,288.12,1.63,D,0
37.24358,39.62144,367,0.33,0.55,2020-01-15,1100,N,VIIRS,h,2,295.21,7.11,D,0
37.26605,39.81383,325.48,0.33,0.56,2020-01-15,1100,N,VIIRS,n,2,289.55,1.04,D,0
37.41879,39.5096,332.12,0.32,0.55,2020-01-15,1101,N,VIIRS,n,2,289.95,1.26,D,0
37.49427,39.22767,325.16,0.62,0.54,2020-01-15,1101,N,VIIRS,n,2,290.16,2.87,D,0
38.34575,33.07193,330.77,0.47,0.4,2020-01-15,1101,N,VIIRS,n,2,284.51,7.55,D,0
38.34513,33.06652,346.61,0.47,0.4,2020-01-15,1101,N,VIIRS,n,2,288.8,7.55,D,0
38.2295,29.77814,329.31,0.39,0.36,2020-01-15,1101,N,VIIRS,n,2,289.57,1.48,D,0
38.16135,26.88546,330,0.4,0.37,2020-01-15,1101,N,VIIRS,n,2,286.77,2.92,D,0
38.73581,26.9503,326.65,0.4,0.37,2020-01-15,1101,N,VIIRS,n,2,290.42,2.34,D,2
41.17455,32.63053,295.04,0.56,0.43,2020-01-15,2320,N,VIIRS,n,2,271.73,2.61,N,2
41.2663,31.42563,310.66,0.43,0.46,2020-01-15,2320,N,VIIRS,n,2,282.13,0.87,N,2
41.26583,31.43082,296.05,0.42,0.46,2020-01-15,2320,N,VIIRS,n,2,277.48,0.87,N,2
41.25457,31.41326,298.23,0.43,0.46,2020-01-15,2320,N,VIIRS,n,2,275.83,0.74,N,2
40.76506,32.21865,304.61,0.39,0.44,2020-01-15,2320,N,VIIRS,n,2,264.48,1.04,N,0
39.94541,33.19444,297.97,0.51,0.41,2020-01-15,2320,N,VIIRS,n,2,271.4,1.09,N,2
38.65392,39.77137,334.59,0.4,0.37,2020-01-15,2320,N,VIIRS,n,2,271.73,6.9,N,2
38.65059,39.77045,332.54,0.4,0.37,2020-01-15,2320,N,VIIRS,n,2,270.44,6.9,N,2
39.86515,26.24543,295.47,0.38,0.59,2020-01-15,2320,N,VIIRS,n,2,278.23,1.18,N,2
38.7552,26.95005,306.76,0.34,0.56,2020-01-15,2321,N,VIIRS,n,2,275.99,1.33,N,2
38.7397,26.94463,301.85,0.34,0.56,2020-01-15,2321,N,VIIRS,n,2,278.73,0.95,N,2
38.73947,26.94857,300.87,0.34,0.56,2020-01-15,2321,N,VIIRS,n,2,277.76,0.61,N,2
38.73446,26.9442,296.5,0.34,0.56,2020-01-15,2321,N,VIIRS,n,2,277.92,0.82,N,2
38.73422,26.94827,297.72,0.34,0.56,2020-01-15,2321,N,VIIRS,n,2,275.29,0.51,N,2
37.35053,37.16422,312.84,0.38,0.36,2020-01-15,2321,N,VIIRS,n,2,275.3,1.48,N,2
37.29321,37.15937,295.67,0.38,0.36,2020-01-15,2321,N,VIIRS,n,2,273.97,0.71,N,2
36.7354,36.20787,310.21,0.39,0.36,2020-01-15,2321,N,VIIRS,n,2,286.04,0.69,N,2
36.73476,36.21224,298.76,0.39,0.36,2020-01-15,2321,N,VIIRS,n,2,284.7,0.95,N,2
36.73207,36.20711,296.21,0.39,0.36,2020-01-15,2321,N,VIIRS,n,2,283.46,0.69,N,2
36.73143,36.21148,308.74,0.39,0.36,2020-01-15,2321,N,VIIRS,n,2,287.04,0.95,N,2
36.7281,36.21073,296.12,0.39,0.36,2020-01-15,2321,N,VIIRS,n,2,283.21,0.67,N,2
36.71941,36.19973,316.5,0.39,0.36,2020-01-15,2321,N,VIIRS,n,2,283.89,1.27,N,2
36.86939,34.76231,305.43,0.42,0.38,2020-01-15,2321,N,VIIRS,n,2,281.44,1.15,N,2
38.75195,26.95335,302.82,0.48,0.65,2020-01-16,0101,N,VIIRS,n,2,276.96,0.85,N,2
38.74069,26.9476,297.25,0.48,0.65,2020-01-16,0101,N,VIIRS,n,2,277.41,1.21,N,2
38.73508,26.94468,307.14,0.48,0.65,2020-01-16,0101,N,VIIRS,n,2,279.32,1.21,N,2
36.77779,39.54509,347.59,0.54,0.42,2020-01-16,1041,N,VIIRS,n,2,287.16,9.97,D,0
36.77714,39.53902,335.41,0.54,0.42,2020-01-16,1041,N,VIIRS,n,2,287.2,9.97,D,0
36.78168,39.54443,346.98,0.54,0.42,2020-01-16,1041,N,VIIRS,n,2,287.42,9.16,D,0
36.78102,39.53838,328.59,0.54,0.42,2020-01-16,1041,N,VIIRS,n,2,282.51,9.16,D,0
36.94689,39.89993,342.29,0.56,0.43,2020-01-16,1041,N,VIIRS,n,2,288.93,7.9,D,0
36.95085,39.89929,327.79,0.56,0.43,2020-01-16,1041,N,VIIRS,n,2,286.52,5.26,D,0
36.94453,39.89849,325.76,0.56,0.43,2020-01-16,1041,N,VIIRS,n,2,286.83,6.22,D,0
36.9485,39.89784,348.29,0.56,0.43,2020-01-16,1041,N,VIIRS,n,2,288.46,6.22,D,0
37.01184,40.33191,329.59,0.39,0.44,2020-01-16,1041,N,VIIRS,n,2,280.07,1.61,D,0
37.03775,40.21986,351.37,0.39,0.44,2020-01-16,1041,N,VIIRS,n,2,279.89,4.98,D,0
37.04179,40.21922,339.6,0.39,0.44,2020-01-16,1041,N,VIIRS,n,2,277.59,4.27,D,0
37.06733,40.30958,341.54,0.39,0.44,2020-01-16,1041,N,VIIRS,n,2,280.29,5.72,D,0
37.06689,40.30512,328.58,0.39,0.44,2020-01-16,1041,N,VIIRS,n,2,280.17,3.03,D,0
37.08537,40.28425,326.25,0.39,0.44,2020-01-16,1041,N,VIIRS,n,2,281.47,1.61,D,0
37.08806,40.27039,338.3,0.39,0.44,2020-01-16,1041,N,VIIRS,n,2,277.81,2.83,D,0
37.11029,40.36658,344.43,0.4,0.44,2020-01-16,1041,N,VIIRS,n,2,276.52,11.82,D,0
37.10981,40.3679,338.95,0.4,0.44,2020-01-16,1042,N,VIIRS,n,2,273.14,6.65,D,0
37.10937,40.36339,357.12,0.4,0.44,2020-01-16,1042,N,VIIRS,l,2,276.96,11.76,D,0
37.11807,40.19974,325.58,0.39,0.44,2020-01-16,1042,N,VIIRS,n,2,272.41,2.17,D,0
37.11958,40.1326,338.3,0.39,0.44,2020-01-16,1042,N,VIIRS,n,2,275.01,3.58,D,0
37.15276,40.38412,350.42,0.4,0.44,2020-01-16,1042,N,VIIRS,n,2,269.25,6.97,D,0
37.21165,40.06994,329.82,0.38,0.43,2020-01-16,1042,N,VIIRS,n,2,279.46,2.95,D,0
37.32092,39.54613,327.17,0.54,0.42,2020-01-16,1042,N,VIIRS,n,2,277.25,6.06,D,0
36.87708,34.79829,328.19,0.39,0.36,2020-01-16,1042,N,VIIRS,n,2,288.2,2.05,D,0
37.12801,36.32746,336.4,0.41,0.37,2020-01-16,1042,N,VIIRS,n,2,289.49,3.78,D,0
